,image_id,desc
0,1000268201_693b08cb0e,startseq child in pink dress is climbing up set of stairs in an entry way endseq
1,1000268201_693b08cb0e,startseq girl going into wooden building endseq
2,1000268201_693b08cb0e,startseq little girl climbing into wooden playhouse endseq
3,1000268201_693b08cb0e,startseq little girl climbing the stairs to her playhouse endseq
4,1000268201_693b08cb0e,startseq little girl in pink dress going into wooden cabin endseq
5,1001773457_577c3a7d70,startseq black dog and spotted dog are fighting endseq
6,1001773457_577c3a7d70,startseq black dog and tricolored dog playing with each other on the road endseq
7,1001773457_577c3a7d70,startseq black dog and white dog with brown spots are staring at each other in the street endseq
8,1001773457_577c3a7d70,startseq two dogs of different breeds looking at each other on the road endseq
9,1001773457_577c3a7d70,startseq two dogs on pavement moving toward each other endseq
10,1002674143_1b742ab4b8,startseq little girl covered in paint sits in front of painted rainbow with her hands in bowl endseq
11,1002674143_1b742ab4b8,startseq little girl is sitting in front of large painted rainbow endseq
12,1002674143_1b742ab4b8,startseq small girl in the grass plays with fingerpaints in front of white canvas with rainbow on it endseq
13,1002674143_1b742ab4b8,startseq there is girl with pigtails sitting in front of rainbow painting endseq
14,1002674143_1b742ab4b8,startseq young girl with pigtails painting outside in the grass endseq
15,1003163366_44323f5815,startseq man lays on bench while his dog sits by him endseq
16,1003163366_44323f5815,startseq man lays on the bench to which white dog is also tied endseq
17,1003163366_44323f5815,startseq man sleeping on bench outside with white and black dog sitting next to him endseq
18,1003163366_44323f5815,startseq shirtless man lies on park bench with his dog endseq
19,1003163366_44323f5815,startseq man laying on bench holding leash of dog sitting on ground endseq
20,1007129816_e794419615,startseq man in an orange hat starring at something endseq
21,1007129816_e794419615,startseq man wears an orange hat and glasses endseq
22,1007129816_e794419615,startseq man with gauges and glasses is wearing blitz hat endseq
23,1007129816_e794419615,startseq man with glasses is wearing beer can crocheted hat endseq
24,1007129816_e794419615,startseq the man with pierced ears is wearing glasses and an orange hat endseq
25,1007320043_627395c3d8,startseq child playing on rope net endseq
26,1007320043_627395c3d8,startseq little girl climbing on red roping endseq
27,1007320043_627395c3d8,startseq little girl in pink climbs rope bridge at the park endseq
28,1007320043_627395c3d8,startseq small child grips onto the red ropes at the playground endseq
29,1007320043_627395c3d8,startseq the small child climbs on red ropes on playground endseq
30,1009434119_febe49276a,startseq black and white dog is running in grassy garden surrounded by white fence endseq
31,1009434119_febe49276a,startseq black and white dog is running through the grass endseq
32,1009434119_febe49276a,startseq boston terrier is running in the grass endseq
33,1009434119_febe49276a,startseq boston terrier is running on lush green grass in front of white fence endseq
34,1009434119_febe49276a,startseq dog runs on the green grass near wooden fence endseq
35,1012212859_01547e3f17,startseq dog shakes its head near the shore red ball next to it endseq
36,1012212859_01547e3f17,startseq white dog shakes on the edge of beach with an orange ball endseq
37,1012212859_01547e3f17,startseq dog with orange ball at feet stands on shore shaking off water endseq
38,1012212859_01547e3f17,startseq white dog playing with red ball on the shore near the water endseq
39,1012212859_01547e3f17,startseq white dog with brown ears standing near water with head turned to one side endseq
40,1015118661_980735411b,startseq boy smiles in front of stony wall in city endseq
41,1015118661_980735411b,startseq little boy is standing on the street while man in overalls is working on stone wall endseq
42,1015118661_980735411b,startseq young boy runs aross the street endseq
43,1015118661_980735411b,startseq young child is walking on stone paved street with metal pole and man behind him endseq
44,1015118661_980735411b,startseq smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him endseq
45,1015584366_dfcec3c85a,startseq black dog leaps over log endseq
46,1015584366_dfcec3c85a,startseq grey dog is leaping over fallen tree endseq
47,1015584366_dfcec3c85a,startseq large black dog leaps fallen log endseq
48,1015584366_dfcec3c85a,startseq mottled black and grey dog in blue collar jumping over fallen tree endseq
49,1015584366_dfcec3c85a,startseq the black dog jumped the tree stump endseq
50,101654506_8eb26cfb60,startseq brown and white dog is running through the snow endseq
51,101654506_8eb26cfb60,startseq dog is running in the snow endseq
52,101654506_8eb26cfb60,startseq dog running through snow endseq
53,101654506_8eb26cfb60,startseq white and brown dog is running through snow covered field endseq
54,101654506_8eb26cfb60,startseq the white and brown dog is running over the surface of the snow endseq
55,101669240_b2d3e7f17b,startseq man in hat is displaying pictures next to skier in blue hat endseq
56,101669240_b2d3e7f17b,startseq man skis past another man displaying paintings in the snow endseq
57,101669240_b2d3e7f17b,startseq person wearing skis looking at framed pictures set up in the snow endseq
58,101669240_b2d3e7f17b,startseq skier looks at framed pictures in the snow next to trees endseq
59,101669240_b2d3e7f17b,startseq man on skis looking at artwork for sale in the snow endseq
60,1016887272_03199f49c4,startseq collage of one person climbing cliff endseq
61,1016887272_03199f49c4,startseq group of people are rock climbing on rock climbing wall endseq
62,1016887272_03199f49c4,startseq group of people climbing rock while one man belays endseq
63,1016887272_03199f49c4,startseq seven climbers are ascending rock face whilst another man stands holding the rope endseq
64,1016887272_03199f49c4,startseq several climbers in row are climbing the rock while the man in red watches and holds the line endseq
65,1019077836_6fc9b15408,startseq brown dog chases the water from sprinkler on lawn endseq
66,1019077836_6fc9b15408,startseq brown dog plays with the hose endseq
67,1019077836_6fc9b15408,startseq brown dog running on lawn near garden hose endseq
68,1019077836_6fc9b15408,startseq dog is playing with hose endseq
69,1019077836_6fc9b15408,startseq large brown dog running away from the sprinkler in the grass endseq
70,1019604187_d087bf9a5f,startseq dog prepares to catch thrown object in field with nearby cars endseq
